Seed, Runtime(s), melmax
2, 55.71, 183.00
5, 56.95, 185.00
3, 57.61, 183.00
4, 57.77, 182.00
1, 57.89, 183.00
6, 59.31, 180.00
8, 57.55, 183.00
9, 60.01, 182.00
7, 60.59, 184.00
11, 61.70, 182.00
10, 62.42, 182.00
12, 62.93, 183.00
17, 56.19, 184.00
13, 58.18, 183.00
15, 58.41, 185.00
14, 59.30, 184.00
16, 59.49, 185.00
18, 59.66, 181.00
20, 54.07, 184.00
21, 56.67, 185.00
23, 58.20, 182.00
22, 58.75, 186.00
19, 59.28, 184.00
24, 62.52, 182.00
26, 56.20, 183.00
25, 57.71, 182.00
28, 58.70, 184.00
27, 59.08, 183.00
30, 59.25, 182.00
29, 59.32, 185.00
